trip_id,0
1555249,"['1071174' '1076364' '1114205' '1116238' '1132692' '1211382' '1273011'
 '1295289' '1315629' '1316942' '1322773' '1326946' '1386991' '1418286'
 '1442344' '1465540' '1522340' '1525108' '1534128' '1544345' '1544571'
 '3051' '410562' '769414']"
1303711,
1377730,"['1026332' '1032239' '1045306' '1048384' '1053474' '1080177' '1082712'
 '1174193' '1199624' '1216814' '1303125' '1305587' '1322773' '1336545'
 '135055' '1418664' '1429415' '1453752' '1461729' '1534128' '1541906'
 '1544505' '187754' '197976']"
1053190,"['1104532' '1138561' '1177487' '1219643' '1320058' '1338367' '1344957'
 '1498748' '264131']"
1143538,"['1006247' '1012660' '1020605' '1061045' '1065438' '107973' '1124351'
 '1126495' '1136974' '115240' '1183437' '1183547' '1205995' '1265565'
 '1266179' '1307048' '1336489' '1353315' '1364715' '1372515' '1418764'
 '1434017' '145135' '1488520' '1501824' '151797' '1519472' '1528825'
 '1556948' '167946' '18527' '19303' '213986' '218407' '237835' '26591'
 '55409']"
1296690,['1012257' '124078' '1507817' '1524525' '163868']
420044,['1331785']
120039,
28989,['121891']
1519262,['1023460']
1363601,
1420533,
18165,
36329,['1072186' '1326673' '1332323' '138711' '1526324']
138611,"['1064329' '1211442' '1230438' '123095' '1295252' '1309697' '1446767'
 '1514352' '1539782' '173801' '174101' '187206']"
1164786,['1144228']
1114546,
1291379,"['1016391' '1141472' '1154584' '117931' '118472' '1247873' '1331591'
 '1396467' '1521371' '1524517' '1544355' '154743' '1564225' '1589850'
 '184348' '261150']"
1305292,
1245683,"['1030076' '1040221' '1047525' '1090225' '1092934' '112675' '1162931'
 '1241778' '1275676' '1284496' '1303301' '1419527' '1512174' '1527310'
 '1543619' '1550002' '1564225' '180960' '184348']"
1264394,['1274299' '1344767']
1445672,['1142981' '1400700' '1404784' '1425128' '1466213' '374501']
173636,['1051928' '1162410' '169529']
59609802_1.031963,
1051662,['1096060' '1180282' '1232534' '1497627' '1523396' '1536576']
1397227,"['102767' '104530' '1047819' '1105624' '120154' '1314531' '1340710'
 '1344006' '1463655' '1482787' '1578669']"
1213921,
1428038,['172470']
229942,
1223922,['145618']
138495,
305644,"['1043754' '1064058' '109342' '1185784' '1186432' '1202131' '120631'
 '1233272' '123768' '1247274' '1264136' '1346648' '135290' '1389748'
 '1397031' '1400740' '1417663' '1430275' '14306' '147323' '1515969'
 '1553150' '1560306' '1585030' '161744' '170125' '187008' '234500'
 '246198']"
1325761,['1009915' '113381' '1185614' '1444272' '313112' '360512' '37812']
1267616,['1007546' '1140091']
26634,['109908' '1320682']
1410408,['1582801']
253976,['1194122' '1329234' '1476311' '1514471' '1525156']
1354193,"['1001018' '100563' '1011411' '109342' '1108306' '1155854' '1206173'
 '1256458' '1263588' '128645' '1308113' '1322793' '13728' '1471911'
 '1509272' '1536888' '1583680' '184820' '186922' '187008' '234500' '27664'
 '283081' '453029']"
1244511,
29550387#1_1.031488,
368647,
1109230,['1064617' '1241808' '1438563']
1550449,
1479652,"['1063426' '1063939' '1109991' '1143640' '1215129' '122420' '1262190'
 '126474' '1272770' '128645' '1307623' '132065' '1336575' '1367473'
 '1453729' '1456725' '1458381' '1509178' '1569479' '168015' '252173'
 '281884' '397128']"
1524125,['1253692' '1586690' '227262']
178328,['1380855' '139761' '178710']
1377485,['1210305' '1393834' '1492177']
262290,"['1055002' '11065' '1176648' '1288568' '1449886' '1489575' '1550155'
 '223097']"
1103930,['1321476' '185160']
1586089,
1052285,
1417998,
140173,['1152403' '1255127' '1483187']
1210930,['1054498' '1186369' '1437097' '1509182' '1571318']
1227262,['1372554']
1117374,['217708' '291280']
57868214#1_3.027557,
139716,
1371004,"['1074421' '1094568' '1101743' '1181451' '1186190' '1216814' '1276482'
 '1314771' '1344006' '1461345' '1502171' '1515427' '1522340' '1530797'
 '1569225' '209589' '236323' '413714']"
1433397,['1044500']
1156804,"['1125853' '1186951' '1219292' '1304063' '1336458' '1376322' '1448439'
 '1498347' '1564944' '1577587' '1587263']"
1326190,['1054337' '1101527' '1107033' '1230526' '1285702' '1522929']
1015215,"['1026332' '1032239' '1045306' '1096680' '1132692' '1143640' '1204793'
 '135823' '1418664' '1534128' '1569588' '197976' '769414']"
1005367,['1048312' '1195212' '1256689' '131853' '25192' '292025' '29409' '353766']
237557,
1283321,
1062379,['1149015']
158934,['1200254']
1304791,
1195361,['1032613' '2632']
120300,
1431790,
1205835,
1011538,['100011' '1315478' '1333529' '1360607']
59609802_2.027911,['59609802_1.026265' '59609802_2.026921']
